market,symbol,holder_name,holding_pct,rank
hk,0025.HK,"Dimensional Fund Advisors, L.P.",0.2552,4
hk,0025.HK,Tam (Kwok Wing),0.0829,5
hk,0025.HK,Kuok (Hoi Sang),0.0576,6
hk,0025.HK,"Dimensional Fund Advisors, Ltd.",0.0211,7
hk,0025.HK,Ho (Chung Leung),0.0133,8
hk,0026.HK,Ngan (Henry H),15.8637,1
hk,0026.HK,Ngan Soo (Shieh Ven Maria),15.3526,2
hk,0026.HK,Ngan (Kit Ling),10.722,3
hk,0026.HK,Chee (Sing Wan Sylvana),8.3288,4
hk,0026.HK,"Kwan Mui Co., Ltd.",0.7718,5
hk,0026.HK,"Dimensional Fund Advisors, L.P.",0.1999,6
hk,0026.HK,Stott (Anthony Grahame),0.1119,7
hk,0026.HK,Yung (Shun Loy CPA),0.0646,8
hk,0026.HK,"Dimensional Fund Advisors, Ltd.",0.0186,9
hk,0026.HK,Chau (Ming Tak),0.0091,10
hk,0026.HK,SEI Investments Canada,0.0044,11
hk,0026.HK,Moir (Michael John),0.0044,12
hk,0026.HK,DFA Australia Ltd.,0.0033,13
hk,0026.HK,Mercer Global Investments Europe Limited,0.0022,14
hk,0026.HK,Mercer Global Investments Management Ltd,0.0022,15
hk,0026.HK,Tan (Stephen),0.0013,16
hk,0026.HK,SEI Investments Management Corporation,0.0013,17
hk,0026.HK,Ngan (Sarah),0.0013,18
hk,0026.HK,Arnett (Lynne Jane),0.0013,19
hk,0027.HK,City Lion Profits Corp.,22.2249,1
hk,0027.HK,Lui (Yiu Tung Francis),11.7185,2
hk,0027.HK,"Pzena Investment Management, LLC",6.2471,3
hk,0027.HK,Estate of Lui Che Woo,5.3897,4
hk,0027.HK,Top Notch Opportunities Ltd.,3.9257,5
hk,0027.HK,K Wah International Holdings Ltd,3.7103,6
hk,0027.HK,Kentlake International Investments Ltd.,2.7662,7
hk,0027.HK,Norges Bank Investment Management (NBIM),1.6729,8
hk,0027.HK,"Vanguard Capital Management, LLC",1.4643,9
hk,0027.HK,Aviva Investors Global Services Limited,0.9837,10
hk,0027.HK,"BlackRock Institutional Trust Company, N.A.",0.9653,11
hk,0027.HK,Principal Global Investors (Equity),0.8346,12
hk,0027.HK,Capital World Investors,0.7143,13
hk,0027.HK,Hang Seng Investment Management Ltd.,0.5378,14
hk,0027.HK,"Thornburg Investment Management, Inc.",0.4969,15
hk,0027.HK,Tang Lui (Wai Yu Paddy),0.4439,16
hk,0027.HK,Schroder Investment Management (Hong Kong) Ltd.,0.4171,17
hk,0027.HK,Schroder Investment Management (Singapore) Ltd.,0.4081,18
hk,0027.HK,Baillie Gifford & Co.,0.3774,19
hk,0027.HK,"Geode Capital Management, L.L.C.",0.3688,20
hk,0028.HK,Allied Properties HK Ltd,59.2954,1
hk,0028.HK,PIA Ltd,18.0287,2
hk,0028.HK,Chong (Sok Un Shirley),9.7497,3
hk,0028.HK,Argyle Street Management Limited,7.0304,4
hk,0028.HK,"Dimensional Fund Advisors, L.P.",0.5155,5
hk,0028.HK,"Dimensional Fund Advisors, Ltd.",0.0533,6
hk,0028.HK,Acadian Asset Management LLC,0.0035,7
hk,0028.HK,DFA Australia Ltd.,0.0018,8
hk,0028.HK,Mercer Global Investments Europe Limited,0.0011,9
hk,0028.HK,Mercer Global Investments Management Ltd,0.0011,10
hk,0028.HK,"Lazard Asset Management, L.L.C.",0.001,11
hk,0028.HK,BNP Paribas Asset Management UK Ltd.,0.0,12
hk,0029.HK,Dynamic Development Corp,37.5767,1
hk,0029.HK,Tan (Carmen K.),0.9213,2
hk,0029.HK,Tan (Lucio C.),0.9213,3
hk,0029.HK,Pascual (Ramon Sy),0.6655,4
hk,0029.HK,Chiu (Siu Hung),0.4207,5
hk,0029.HK,Chong (Kim Chan),0.4207,6
hk,0029.HK,"Vanguard Capital Management, LLC",0.2036,7
hk,0029.HK,"Dimensional Fund Advisors, L.P.",0.1228,8
hk,0029.HK,"Dimensional Fund Advisors, Ltd.",0.0353,9
hk,0029.HK,DFA Australia Ltd.,0.0047,10
hk,0029.HK,Go (Patrick Lim),0.0,11
hk,0029.HK,Vanguard Investments Australia Ltd.,0.0,12
hk,0029.HK,"The Vanguard Group, Inc.",0.0,13
hk,0030.HK,"Yunnan Baiyao Group Co., Ltd.",73.6948,1
hk,0030.HK,"New huadu Industrial Group Co., Ltd.",0.594,2
hk,0030.HK,"New huadu Industrial Group Co., Ltd.",0.5898,3
hk,0031.HK,China Aerospace Science and Technology Corporation,38.366,1
hk,0031.HK,"Dimensional Fund Advisors, L.P.",0.9767,2
hk,0031.HK,"Dimensional Fund Advisors, Ltd.",0.0425,3
hk,0031.HK,DFA Australia Ltd.,0.0,4
hk,0031.HK,State Street Investment Management (US),0.0,5
hk,0032.HK,Cheung (Chung Kiu),73.2281,1
hk,0032.HK,Fidelity Management & Research Company LLC,0.2225,2
